,beer_name,style,ABV,brewery_id
0,Oude Geuze,Belgian-Style Fruit Lambic,6.0,578
1,Drie Fonteinen Kriek,Belgian-Style Fruit Lambic,5.0,578
2,Bock Beer,Traditional German-Style Bock,5.900000095399999,579
3,JuleÃ¸l,Dark American-Belgo-Style Ale,5.900000095399999,579
4,Classic Special Brew,American-Style Lager,0.0,579
5,Genuine Pilsner,German-Style Pilsener,5.5,579
6,Gull Classic,American-Style Lager,5.5,579
7,Rochefort 10,Belgian-Style Quadrupel,11.300000190999999,580
8,Rochefort 6,Dark American-Belgo-Style Ale,7.5,580
9,Leffe Blonde,Golden or Blonde Ale,6.599999904600001,581
10,8,Belgian-Style Dubbel,8.0,582
11,10,Belgian-Style Tripel,10.0,582
12,6,Golden or Blonde Ale,6.0,582
13,Abhi beer,Bamberg-Style Bock Rauchbier,0.0,583
14,Broadside Ale,Extra Special Bitter,6.3000001907000005,584
15,Adnam's Suffolk Special Bitter,Extra Special Bitter,4.5,584
16,Adnams Fisherman,American-Style Amber/Red Ale,4.5,584
17,Adnams Tally Ho,American-Style Barley Wine Ale,7.5,584
18,Adnams Explorer,Ordinary Bitter,5.5,584
19,Nut Brown Ale,American-Style Brown Ale,3.2000000476999997,584
20,Affligem Dubbel,Belgian-Style Dubbel,6.8000001907000005,585
21,Catfish Cream Ale,American-Style Lager,5.0,586
22,St. Martin Doppelbock,Traditional German-Style Bock,7.5,587
23,Porteris,Traditional German-Style Bock,7.0,588
24,Cambonator Doppelbock,Traditional German-Style Bock,7.1999998092999995,589
25,Winterfestival,German-Style Oktoberfest,5.5,589
26,Winterfestival,German-Style Oktoberfest,5.5,589
27,Cambonator Doppelbock,Traditional German-Style Bock,7.1999998092999995,589
28,Podge Belgian Imperial Stout,American-Style Stout,10.5,590
29,Amstel Light,American-Style Light Lager,3.5,591
30,Doppelbock Dunkel,Traditional German-Style Bock,7.0,592
31,Guinness Draught,American-Style Stout,4.3000001907,593
32,Foreign Extra Stout,Foreign (Export)-Style Stout,7.5,593
33,Guinness Extra Stout,American-Style Stout,5.0,593
34,Harp Lager,American-Style Lager,5.0,593
35,Guinness 250th Anniversary Stout,American-Style Stout,5.0,593
36,Guinness Draught,Classic Irish-Style Dry Stout,4.3000001907,593
37,Kuronama,Porter,0.0,594
38,Asahi Super Dry,American-Style Lager,0.0,594
39,Maximator,Traditional German-Style Bock,0.0,595
40,WeiÃŸbier,Light American Wheat Ale or Lager,0.0,595
41,King Lager,American-Style Light Lager,5.1999998093,596
42,Porter Czarny Boss / Black BOSS Porter,American-Style Stout,9.6000003815,597
