,brewery_id,brewery_name,city,state,country,beer_count,Rating,rating
0,578,3 Fonteinen Brouwerij Ambachtelijke Geuzestekerij,Beersel,Vlaams Brabant,Belgium,2,NaN,NaN
2,579,Aass Brewery,Drammen,,Norway,5,4.4,4.4
7,580,Abbaye Notre Dame du St Remy,Rochefort,Namur,Belgium,2,4.2,4.2
9,581,Abbaye de Leffe,Dinant,Namur,Belgium,1,4.2,4.2
10,582,Abbaye de Maredsous,Dene,Namur,Belgium,3,4.3,4.3
13,583,Abhi Brewery,,,India,0,NaN,NaN
14,584,Adnams & Co.,Southwold,Suffolk,United Kingdom,6,4.5,4.5
20,585,Affligem Brouwerij,Opwijk,,Belgium,1,NaN,NaN
21,586,Agassiz Brewing,Winnipeg,Manitoba,Canada,1,4.5,4.5
22,587,Aktienbrauerei Kaufbeuren,Kaufbeuren,Bayern,Germany,1,3.7,3.7
23,588,Aldaris,Rga,,Latvia,1,NaN,NaN
24,589,Allguer Brauhaus AG Kempten,Kempten,Bayern,Germany,4,4.2,4.2
28,590,Alvinne Picobrouwerij,Ingelmunster,West-Vlaanderen,Belgium,1,4.8,4.8
29,591,Amstel Brouwerij,Amsterdam,,Netherlands,1,NaN,NaN
30,592,Andechser Klosterbrauerei,Andechs,Bayern,Germany,1,4.8,4.8
31,593,Arthur Guinness & Son,Dublin,,Ireland,6,NaN,NaN
37,594,Asahi Breweries,Tokyo,Kanto,Japan,2,4.3,4.3
39,595,Augustiner-BrÃ¤u MÃ¼nchen,MÃ¼nchen,Bayern,Germany,2,NaN,NaN
41,596,Australian Brewing Corporation,Little River,Victoria,Australia,1,NaN,NaN
42,597,BOSS Browar Witnica S.A.,Witnica,,Poland,2,4.5,4.5
44,598,Baltika Breweries,St. Petersburg,,Russia,1,NaN,NaN
45,599,Bamberger Mahr's-Bru,Bamberg,Bayern,Germany,4,NaN,NaN
49,600,Barfer - das kleine Brauhaus,Ulm,Baden-Wrttemberg,Germany,2,NaN,NaN
51,601,Bass Brewers,Burton-upon-Trent,Staffordshire,United Kingdom,1,4.6,4.6
52,602,Bayerische Staatsbrauerei Weihenstephan,Freising,Bayern,Germany,4,4.3,4.3
56,603,Beamish & Crawford,Cork,,Ireland,1,4.8,4.8
57,604,Beck's,,,Germany,0,4.1,4.1
58,605,Belhaven Brewery,East Lothian,Scotland,United Kingdom,3,3,3
61,606,Belize Brewing,Belize City,,Belize,1,4.5,4.5
62,607,Bierbrouwerij Bavaria,Lieshout,,Netherlands,1,4.5,4.5
63,608,Bierbrouwerij De Koningshoeven,Berkel-Enschot,,Netherlands,4,4.6,4.6
67,609,Bierbrouwerij St.Christoffel,Roermond,,Netherlands,2,4.5,4.5
69,610,Big Ridge Brewing,Surrey,British Columbia,Canada,7,4.1,4.1
76,611,Big River Brewing,Richmond,British Columbia,Canada,4,4.5,4.5
80,612,Big Rock Brewery,Calgary,Alberta,Canada,5,4.3,4.3
85,613,Birra Forst,Lagundo / Algund,,Italy,1,4.9,4.9
86,614,Birra Moretti,Udine,,Italy,2,5,5
88,615,Birrificia Le Baladin,Piozzo,,Italy,1,NaN,NaN
