,brewery_id,name,city,state,beer_count,rating,Country
0,0,NorthGate Brewing ,Minneapolis, MN,6,4.2,USA
1,1,Against the Grain Brewery,Louisville, KY,13,4.5,USA
2,2,Jack's Abby Craft Lagers,Framingham, MA,5,4.6,USA
3,3,Mike Hess Brewing Company,San Diego, CA,6,4.6,USA
4,4,Fort Point Beer Company,San Francisco, CA,4,3.8,USA
5,5,COAST Brewing Company,Charleston, SC,6,4.7,USA
6,6,Great Divide Brewing Company,Denver, CO,9,4.6,USA
7,7,Tapistry Brewing,Bridgman, MI,3,4.5,USA
8,8,Big Lake Brewing,Holland, MI,2,4.5,USA
9,9,The Mitten Brewing Company,Grand Rapids, MI,1,4.6,USA
10,10,Brewery Vivant,Grand Rapids, MI,62,4.6,USA
11,11,Petoskey Brewing,Petoskey, MI,4,4.5,USA
12,12,Blackrocks Brewery,Marquette, MI,6,4.8,USA
13,13,Perrin Brewing Company,Comstock Park, MI,6,4.5,USA
14,14,Witch's Hat Brewing Company,South Lyon, MI,2,4.7,USA
15,15,Founders Brewing Company,Grand Rapids, MI,3,4.5,USA
16,16,Flat 12 Bierwerks,Indianapolis, IN,3,4.6,USA
17,17,Tin Man Brewing Company,Evansville, IN,9,3.9,USA
18,18,Black Acre Brewing Co.,Indianapolis, IN,1,4.6,USA
19,19,Brew Link Brewing,Plainfield, IN,1,4.6,USA
20,20,Bare Hands Brewery,Granger, IN,1,4.7,USA
21,21,Three Pints Brewing,Martinsville, IN,4,3.4,USA
22,22,Four Fathers Brewing ,Valparaiso, IN,4,4.7,USA
23,23,Indiana City Brewing,Indianapolis, IN,1,4.6,USA
24,24,Burn 'Em Brewing,Michigan City, IN,11,4.7,USA
25,25,Sun King Brewing Company,Indianapolis, IN,38,NaN,USA
26,26,Evil Czech Brewery,Mishawaka, IN,6,4.5,USA
27,27,450 North Brewing Company,Columbus, IN,7,4.3,USA
28,28,Taxman Brewing Company,Bargersville, IN,1,4.5,USA
29,29,Cedar Creek Brewery,Seven Points, TX,6,4.9,USA
30,30,SanTan Brewing Company,Chandler, AZ,19,4.5,USA
31,31,Boulevard Brewing Company,Kansas City, MO,1,4.8,USA
32,32,James Page Brewing Company,Stevens Point, WI,6,4.7,USA
33,33,The Dudes' Brewing Company,Torrance, CA,5,4.3,USA
34,34,Ballast Point Brewing Company,San Diego, CA,6,4.3,USA
35,35,Anchor Brewing Company,San Francisco, CA,5,4.5,USA
36,36,Figueroa Mountain Brewing Company,Buellton, CA,3,4.6,USA
37,37,Avery Brewing Company,Boulder, CO,6,4.7,USA
38,38,Twisted X Brewing Company,Dripping Springs, TX,3,4.5,USA
39,39,Gonzo's BiggDogg Brewing,Kalamazoo, MI,1,NaN,USA
40,40,Big Muddy Brewing,Murphysboro, IL,2,4.9,USA
41,41,Lost Nation Brewing,East Fairfield, VT,4,4.7,USA
42,42,Rising Tide Brewing Company,Portland, ME,2,4.6,USA
43,43,Rivertowne Brewing Company,Export, PA,15,4.6,USA
44,44,Revolution Brewing Company,Chicago, IL,8,4.6,USA
45,45,Tallgrass Brewing Company,Manhattan, KS,18,4.5,USA
46,46,Sixpoint Craft Ales,Brooklyn, NY,24,4.5,USA
47,47,White Birch Brewing,Hooksett, NH,4,4.7,USA
48,48,Firestone Walker Brewing Company,Paso Robles, CA,5,4.5,USA
49,49,SweetWater Brewing Company,Atlanta, GA,4,4.5,USA
50,50,Flying Mouse Brewery,Troutville, VA,2,4.4,USA
51,51,Upslope Brewing Company,Boulder, CO,18,4.5,USA
52,52,Pipeworks Brewing Company,Chicago, IL,1,4.9,USA
53,53,Bent Brewstillery,Roseville, MN,3,4.6,USA
54,54,Flesk Brewing Company,Lombard, IL,1,4.6,USA
55,55,Pollyanna Brewing Company,Lemont, IL,1,4.7,USA
56,56,BuckleDown Brewing,Lyons, IL,1,4.6,USA
57,57,Destihl Brewery,Bloomington, IL,7,4.6,USA
58,58,Summit Brewing Company,St. Paul, MN,3,4.6,USA
59,59,Latitude 42 Brewing Company,Portage, MI,4,4.5,USA
60,60,4 Hands Brewing Company,Saint Louis, MO,8,4.6,USA
61,61,Surly Brewing Company,Brooklyn Center, MN,13,4.6,USA
62,62,Against The Grain Brewery,Louisville, KY,2,4.5,USA
63,63,Crazy Mountain Brewing Company,Edwards, CO,8,3.9,USA
64,64,SlapShot Brewing Company,Chicago, IL,2,3.9,USA
65,65,Mikerphone Brewing,Chicago, IL,8,4.7,USA
66,66,Freetail Brewing Company,San Antonio, TX,8,4.5,USA
67,67,3 Daughters Brewing,St Petersburg, FL,3,4.6,USA
68,68,Red Shedman Farm Brewery and Hop...,Mt. Airy, MD,5,4.4,USA
69,69,Appalachian Mountain Brewery,Boone, NC,3,4.7,USA
70,70,Birdsong Brewing Company,Charlotte, NC,1,4.8,USA
71,71,Union Craft Brewing,Baltimore, MD,4,4.6,USA
72,72,Atwater Brewery,Detroit, MI,6,4.3,USA
73,73,Ale Asylum,Madison, WI,1,4.3,USA
74,74,Two Brothers Brewing Company,Warrenville, IL,10,4.5,USA
75,75,Bent Paddle Brewing Company,Duluth, MN,6,4.8,USA
76,76,Bell's Brewery,Kalamazoo, MI,6,4.6,USA
77,77,Blue Owl Brewing,Austin, TX,4,4.6,USA
78,78,Speakasy Ales & Lagers,San Francisco, CA,1,5,USA
79,79,Black Tooth Brewing Company,Sheridan, WY,2,4.7,USA
80,80,Hopworks Urban Brewery,Portland, OR,23,4.4,USA
81,81,Epic Brewing,Denver, CO,4,4.4,USA
82,82,New Belgium Brewing Company,Fort Collins, CO,17,4.7,USA
83,83,Sierra Nevada Brewing Company,Chico, CA,9,4.7,USA
84,84,Keweenaw Brewing Company,Houghton, MI,7,4.8,USA
85,85,Brewery Terra Firma,Traverse City, MI,1,4.7,USA
86,86,Grey Sail Brewing Company,Westerly, RI,2,4.7,USA
87,87,Kirkwood Station Brewing Company,Kirkwood, MO,2,3.5,USA
88,88,Goose Island Brewing Company,Chicago, IL,5,4.7,USA
89,89,Broad Brook Brewing LLC,East Windsor, CT,1,4.5,USA
90,90,The Lion Brewery,Wilkes-Barre, PA,1,4,USA
91,91,Madtree Brewing Company,Cincinnati, OH,9,4.6,USA
92,92,Jackie O's Pub & Brewery,Athens, OH,5,4.6,USA
93,93,Rhinegeist Brewery,Cincinnati, OH,8,4.6,USA
94,94,Warped Wing Brewing Company,Dayton, OH,4,4.7,USA
95,95,Blackrocks Brewery,Marquette, MA,1,4.8,USA
96,96,Catawba Valley Brewing Company,Morganton, NC,2,4.5,USA
97,97,Tröegs Brewing Company,Hershey, PA,5,4.6,USA
98,98,Mission Brewery,San Diego, CA,4,4.5,USA
99,99,Christian Moerlein Brewing Company,Cincinnati, OH,1,4.4,USA
100,100,West Sixth Brewing,Lexington, KY,4,4.7,USA
101,101,Coastal Extreme Brewing Company,Newport, RI,4,NaN,USA
102,102,King Street Brewing Company,Anchorage, AK,5,4.6,USA
103,103,Beer Works Brewery,Lowell, MA,4,4.4,USA
104,104,Lone Tree Brewing Company,Lone Tree, CO,1,4.7,USA
105,105,Four String Brewing Company,Columbus, OH,4,4.7,USA
106,106,Glabrous Brewing Company,Pineland, ME,1,NaN,USA
107,107,Bonfire Brewing Company,Eagle, CO,19,4.9,USA
108,108,Thomas Hooker Brewing Company,Bloomfield, CT,1,4.6,USA
109,109,"Woodstock Inn, Station & Brewery",North Woodstock, NH,2,4.4,USA
110,110,Renegade Brewing Company,Denver, CO,6,4.5,USA
111,111,Mother Earth Brew Company,Vista, CA,1,4.6,USA
112,112,Black Market Brewing Company,Temecula, CA,4,4.5,USA
113,113,Vault Brewing Company,Yardley, PA,1,4.6,USA
114,114,Jailbreak Brewing Company,Laurel, MD,1,4.6,USA
115,115,Smartmouth Brewing Company,Norfolk, VA,3,4.7,USA
116,116,Base Camp Brewing Co.,Portland, OR,5,4.5,USA
117,117,Alameda Brewing,Portland, OR,3,4.7,USA
118,118,Southern Star Brewing Company,Conroe, TX,14,4.8,USA
119,119,Steamworks Brewing Company,Durango, CO,4,4.5,USA
120,120,Horny Goat Brew Pub,Milwaukee, WI,3,3,USA
121,121,Cheboygan Brewing Company,Cheboygan, MI,3,4.5,USA
122,122,Center of the Universe Brewing C...,Ashland, VA,4,4.5,USA
123,123,Ipswich Ale Brewery,Ipswich, MA,1,4.4,USA
124,124,Griffin Claw Brewing Company,Birmingham, MI,9,4.5,USA
125,125,Karbach Brewing Company,Houston, TX,10,4.6,USA
126,126,Uncle Billy's Brewery and Smokeh...,Austin, TX,2,4.7,USA
127,127,Deep Ellum Brewing Company,Dallas, TX,9,4.6,USA
128,128,Real Ale Brewing Company,Blanco, TX,8,4.8,USA
129,129,Straub Brewery,St Mary's, PA,4,4.8,USA
130,130,Shebeen Brewing Company,Wolcott, CT,1,4.6,USA
131,131,Stevens Point Brewery,Stevens Point, WI,22,4.7,USA
132,132,Weston Brewing Company,Weston, MO,7,4.7,USA
133,133,Southern Prohibition Brewing Com...,Hattiesburg, MS,9,4.7,USA
134,134,Minhas Craft Brewery,Monroe, WI,13,4.5,USA
135,135,Pug Ryan's Brewery,Dillon, CO,7,3.9,USA
136,136,Hops & Grains Brewing Company,Austin, TX,1,4.8,USA
137,137,Sietsema Orchards and Cider Mill,Ada, MI,1,4.7,USA
138,138,Summit Brewing Company,St Paul, MN,1,4.6,USA
139,139,Core Brewing & Distilling Company,Springdale, AR,4,4.6,USA
140,140,Independence Brewing Company,Austin, TX,3,4.6,USA
141,141,Cigar City Brewing Company,Tampa, FL,25,4.5,USA
142,142,Third Street Brewhouse,Cold Spring, MN,4,4.3,USA
143,143,Narragansett Brewing Company,Providence, RI,10,5,USA
144,144,Grimm Brothers Brewhouse,Loveland, CO,1,4.7,USA
145,145,Cisco Brewers,Nantucket, MA,7,4.6,USA
146,146,Angry Minnow,Hayward, WI,1,4.3,USA
147,147,Platform Beer Company,Cleveland, OH,1,4.5,USA
148,148,Odyssey Beerwerks,Arvada, CO,7,4.7,USA
149,149,Lonerider Brewing Company,Raleigh, NC,5,4.6,USA
150,150,Oakshire Brewing,Eugene, OR,4,4.6,USA
151,151,Fort Pitt Brewing Company,Latrobe, PA,1,NaN,USA
152,152,Tin Roof Brewing Company,Baton Rouge, LA,7,4.6,USA
153,153,Three Creeks Brewing,Sisters, OR,3,4.1,USA
154,154,2 Towns Ciderhouse,Corvallis, OR,4,4.8,USA
155,155,Caldera Brewing Company,Ashland, OR,14,4.4,USA
156,156,Greenbrier Valley Brewing Company,Lewisburg, WV,2,4.7,USA
157,157,Phoenix Ale Brewery,Phoenix, AZ,1,4.5,USA
158,158,Lumberyard Brewing Company,Flagstaff, AZ,4,4.3,USA
159,159,Uinta Brewing Company,Salt Lake City, UT,9,4.4,USA
160,160,Four Peaks Brewing Company,Tempe, AZ,7,4.6,USA
161,161,Martin House Brewing Company,Fort Worth, TX,8,4.7,USA
162,162,Right Brain Brewery,Traverse City, MI,1,4.5,USA
163,163,Sly Fox Brewing Company,Phoenixville, PA,1,4.6,USA
164,164,Round Guys Brewing,Lansdale, PA,7,4.5,USA
165,165,Great Crescent Brewery,Aurora, IN,20,4.7,USA
166,166,Oskar Blues Brewery,Longmont, CO,33,4.6,USA
167,167,Boxcar Brewing Company,West Chester, PA,3,4.8,USA
168,168,High Hops Brewery,Windsor, CO,2,4.5,USA
169,169,Crooked Fence Brewing Company,Garden City, ID,3,4,USA
170,170,Everybody's Brewing,White Salmon, WA,2,4.5,USA
171,171,Anderson Valley Brewing Company,Boonville, CA,18,4.7,USA
172,172,Fiddlehead Brewing Company,Shelburne, VT,4,4.5,USA
173,173,Evil Twin Brewing,Brooklyn, NY,5,4.4,USA
174,174,New Orleans Lager & Ale Brewing ...,New Orleans, LA,6,4.5,USA
175,175,Spiteful Brewing Company,Chicago, IL,12,4.7,USA
176,176,Rahr & Sons Brewing Company,Fort Worth, TX,2,4.1,USA
177,177,18th Street Brewery,Gary, IN,14,4.4,USA
178,178,Cambridge Brewing Company,Cambridge, MA,2,4.3,USA
179,179,Carolina Brewery,Pittsboro, NC,3,4.2,USA
180,180,Frog Level Brewing Company,Waynesville, NC,1,4.6,USA
181,181,Wild Wolf Brewing Company,Nellysford, VA,4,3.9,USA
182,182,COOP Ale Works,Oklahoma City, OK,6,4.7,USA
183,183,Seventh Son Brewing Company,Columbus, OH,5,4.6,USA
184,184,Oasis Texas Brewing Company,Austin, TX,4,4.3,USA
185,185,Vander Mill Ciders,Spring Lake, MI,5,4.2,USA
186,186,St. Julian Winery,Paw Paw, MI,1,4.6,USA
187,187,Pedernales Brewing Company,Fredericksburg, TX,2,4.7,USA
188,188,Mother's Brewing,Springfield, MO,2,4.9,USA
189,189,Modern Monks Brewery,Lincoln, NE,1,NaN,USA
190,190,Two Beers Brewing Company,Seattle, WA,12,4.6,USA
191,191,Snake River Brewing Company,Jackson, WY,7,4.2,USA
192,192,Capital Brewery,Middleton, WI,11,4.3,USA
193,193,Anthem Brewing Company,Oklahoma City, OK,3,4.7,USA
194,194,Goodlife Brewing Co.,Bend, OR,1,4.5,USA
195,195,Breakside Brewery,Portland, OR,1,4.5,USA
196,196,Goose Island Brewery Company,Chicago, IL,1,4.7,USA
197,197,Burnside Brewing Co.,Portland, OR,1,4.2,USA
198,198,Hop Valley Brewing Company,Springfield, OR,8,4.3,USA
199,199,Worthy Brewing Company,Bend, OR,5,4,USA
200,200,Occidental Brewing Company,Portland, OR,4,4.6,USA
201,201,Fearless Brewing Company,Estacada, OR,6,3.7,USA
202,202,Upland Brewing Company,Bloomington, IN,3,4.6,USA
203,203,Mehana Brewing Co.,Hilo, HI,6,NaN,USA
204,204,Hawai'i Nui Brewing Co.,Hilo, HI,5,4.4,USA
205,205,People's Brewing Company,Lafayette, IN,4,4.8,USA
206,206,Fort George Brewery,Astoria, OR,12,4.5,USA
207,207,Branchline Brewing Company,San Antonio, TX,1,4.4,USA
208,208,Kalona Brewing Company,Kalona, IA,2,4.5,USA
209,209,Modern Times Beer,San Diego, CA,8,4.7,USA
210,210,Temperance Beer Company,Evanston, IL,3,4.6,USA
211,211,Wisconsin Brewing Company,Verona, WI,4,4.7,USA
212,212,Crow Peak Brewing Company,Spearfish, SD,7,4.7,USA
213,213,Grapevine Craft Brewery,Farmers Branch, TX,3,4.6,USA
214,214,Buffalo Bayou Brewing Company,Houston, TX,3,4.6,USA
215,215,Texian Brewing Co.,Richmond, TX,4,4.1,USA
216,216,Orpheus Brewing,Atlanta, GA,2,4.5,USA
217,217,Forgotten Boardwalk,Cherry Hill, NJ,2,4.7,USA
218,218,Laughing Dog Brewing Company,Ponderay, ID,3,4.7,USA
219,219,Bozeman Brewing Company,Bozeman, MT,5,4.7,USA
220,220,Big Choice Brewing,Broomfield, CO,4,4.6,USA
221,221,Big Storm Brewing Company,Odessa, FL,2,4.6,USA
222,222,Carton Brewing Company,Atlantic Highlands, NJ,4,4.8,USA
223,223,Midnight Sun Brewing Company,Anchorage, AK,5,4.6,USA
224,224,Fat Head's Brewery,Middleburg Heights, OH,2,4.6,USA
225,225,Refuge Brewery,Temecula, CA,1,4.8,USA
226,226,Chatham Brewing,Chatham, NY,2,4.6,USA
227,227,DC Brau Brewing Company,Washington, DC,8,4.6,USA
228,228,Geneva Lake Brewing Company,Lake Geneva, WI,3,4.7,USA
229,229,Rochester Mills Brewing Company,Rochester, MI,7,4.3,USA
230,230,Cape Ann Brewing Company,Gloucester, MA,5,4.3,USA
231,231,Borderlands Brewing Company,Tucson, AZ,1,4.6,USA
232,232,College Street Brewhouse and Pub,Lake Havasu City, AZ,1,4.6,USA
233,233,Joseph James Brewing Company,Henderson, NV,4,NaN,USA
234,234,Harpoon Brewery,Boston, MA,12,4.6,USA
235,235,Back East Brewing Company,Bloomfield, CT,5,4.8,USA
236,236,Champion Brewing Company,Charlottesville, VA,4,4.6,USA
237,237,Devil's Backbone Brewing Company,Lexington, VA,2,4.6,USA
238,238,Newburgh Brewing Company,Newburgh, NY,1,4.6,USA
239,239,Wiseacre Brewing Company,Memphis, TN,3,4.6,USA
240,240,Golden Road Brewing,Los Angeles, CA,15,4.5,USA
241,241,New Republic Brewing Company,College Station, TX,3,4.6,USA
242,242,Infamous Brewing Company,Austin, TX,2,4.7,USA
243,243,Two Henrys Brewing Company,Plant City, FL,1,4.3,USA
244,244,Lift Bridge Brewing Company,Stillwater, MN,2,4.7,USA
245,245,Lucky Town Brewing Company,Jackson, MS,2,4.6,USA
246,246,Quest Brewing Company,Greenville, SC,2,4.7,USA
247,247,Creature Comforts,Athens, GA,2,4.7,USA
248,248,Half Full Brewery,Stamford, CT,2,4.6,USA
249,249,Southampton Publick House,Southampton, NY,1,4.1,USA
250,250,Chapman's Brewing,Angola, IN,4,4.3,USA
251,251,Barrio Brewing Company,Tucson, AZ,2,4.5,USA
252,252,Santa Cruz Mountain Brewing,Santa Cruz, CA,3,4.6,USA
253,253,Frankenmuth Brewery,Frankenmuth, MI,3,4.1,USA
254,254,Meckley's Cidery,Somerset Center, MI,3,4.5,USA
255,255,Stillwater Artisanal Ales,Baltimore, MD,3,NaN,USA
256,256,Finch's Beer Company,Chicago, IL,10,4.3,USA
257,257,South Austin Brewery,South Austin, TX,4,4.8,USA
258,258,Bauhaus Brew Labs,Minneapolis, MN,4,4.5,USA
259,259,Ozark Beer Company,Rogers, AR,1,4.7,USA
260,260,Mountain Town Brewing Company ,Mount Pleasant, MI,1,4.4,USA
261,261,Otter Creek Brewing,Waterbury, VT,1,4.5,USA
262,262,The Brewer's Art,Baltimore, MD,3,4.6,USA
263,263,Denver Beer Company,Denver, CO,2,4.5,USA
264,264,Ska Brewing Company,Durango, CO,12,4.6,USA
